osm_id,lon,lat
42001004,5.98211,50.86717
42001453,5.9818105,50.867385
42001600,5.981955,50.86748
42001903,5.981259,50.8677951
42002038,5.9814058,50.8678783
42002668,5.9809403,50.8682669
42002848,5.7249276,50.8673523
42003558,5.9801004,50.8687188
42003753,5.9802429,50.8688357
42004694,5.9796421,50.8693571
42005324,5.9790292,50.8697172
42005554,5.9789662,50.8700443
42005856,5.9784704,50.8703403
42006649,5.9784136,50.8706503
42007082,5.9779313,50.8709718
42007300,5.9780583,50.8710773
42008890,5.9771252,50.8720146
42010006,5.9766496,50.8726952
42010039,5.9769062,50.8726476
42010402,5.9767131,50.8729726
42010548,5.9764416,50.8730082
42012458,5.9757201,50.8743319
42013488,5.9758509,50.8746109
42014836,5.9752552,50.8759462
42017572,5.9744799,50.8770111
42018618,5.9742182,50.8774715
42018941,5.9742623,50.8777192
42019482,5.9738202,50.8781022
42021552,5.973098,50.8792485
42021581,5.9732681,50.8792803
42021922,5.9723892,50.8795082
42022216,5.9733624,50.8796742
42022369,5.97217,50.87978
42022371,5.9727525,50.8797889
42022436,5.9729245,50.8798241
42022876,5.97194,50.88023
42023108,5.9724153,50.8803355
42023118,5.9725872,50.8803698
42023220,5.9718267,50.8805211
42023311,5.9722767,50.8805788
42023313,5.97275,50.88055
42023352,5.9724469,50.880625
42023641,5.9717757,50.8807394
42023998,5.9720997,50.8810106
42024074,5.9722714,50.8810353
42024763,5.9719629,50.8814909
42024779,5.9721319,50.881543
42025324,5.971652,50.8819133
42025846,5.9719151,50.8824437
42026405,5.9717333,50.8824278
42026734,5.971627,50.8827449
42027289,5.9716937,50.8830336
42027912,5.9712775,50.8834252
42028454,5.971032,50.8837563
42028539,5.971211,50.883799
42028669,5.9708524,50.8839771
42028774,5.97098,50.8840611
42028869,5.9707147,50.8841134
42028993,5.9708635,50.8841803
42029223,5.9703759,50.8844097
42029339,5.9701745,50.8847567
42029469,5.9706155,50.8845695
42029776,5.9700048,50.8846932
42029821,5.9700535,50.8850423
42030157,5.9693809,50.8852637
42030733,5.968699,50.8856337
42030958,5.9678835,50.8858247
42031061,5.9674784,50.8860109
42031087,5.9680576,50.8859447
42031262,5.9676489,50.8861365
42032086,5.9665269,50.8866504
42032147,5.9661436,50.8868377
42032210,5.9656573,50.8869069
42032309,5.9652105,50.8871425
42032835,5.96489,50.88748
42032976,5.9643639,50.8876161
42033070,5.9645,50.88768
42033100,5.9641633,50.8877392
42033242,5.9643,50.8878
42033491,5.9636483,50.8882238
42033558,5.9636862,50.8879954
42033947,5.9631739,50.8885555
42033977,5.9630344,50.8884387
42036538,5.9612683,50.8899502
42037181,5.9604205,50.8903939
42037230,5.96036,50.89061
42038750,5.9586272,50.8916983
42039069,5.9586959,50.8918174
42039466,5.95803,50.89209
42039571,5.9581982,50.8921549
42039736,5.9576056,50.892359
42039831,5.9577763,50.8924247
42040081,5.95714,50.89265
42040092,5.9574062,50.8926585
42040828,5.9560899,50.8932231
42041007,5.9555757,50.8934734
42041247,5.9550541,50.8938429
42041319,5.9548555,50.8937837
42041552,6.042329,50.8939321
42041913,5.9534446,50.8944489
42042087,5.9532824,50.8943684
42042179,6.0423231,50.8946598
42042279,6.0421848,50.894724
42042725,5.9505814,50.8951974
42042770,6.0423152,50.8952756
42042796,5.9507562,50.8952818
42042995,6.0425207,50.8954153
42043094,6.0423973,50.8954914
42043409,6.0425439,50.8958217
42043728,5.947416,50.8961353
42043740,6.0429248,50.8961788
42043835,5.9475109,50.8962657
42044143,5.9463256,50.896506
42044220,6.0430867,50.8966425
42044265,5.9463076,50.8966439
42044342,6.0430354,50.8963404
42044463,5.94526,50.89688
42044641,6.0432873,50.8969034
42044893,5.9437137,50.897447
42045010,5.9444893,50.8972921
42045794,6.0443849,50.8980694
42045826,5.942074,50.8980976
42045985,5.94196,50.89828
42046440,5.94076,50.8986457
42046645,5.94072,50.89881
42046669,6.0449837,50.8988245
42046867,6.0453389,50.8993531
42046887,6.0452175,50.8993855
42046956,5.9398,50.89905
42047453,6.0453817,50.8994194
42047949,6.045682,50.8999872
42047964,6.0455529,50.900016
42047985,5.9386123,50.89978
42048257,5.93765,50.90025
42048397,6.045834,50.9003701
42048433,5.9376768,50.9000707
42049115,5.9357538,50.9010881
42049210,5.935856,50.9011843
42049367,5.9351688,50.9013876
42049445,5.9353018,50.9014671
42049599,5.9344222,50.9019049
42049954,6.0460015,50.9018858
42050166,5.9330997,50.9023631
42050631,5.9323202,50.9028993
42050803,6.0459591,50.9025822
42051147,6.0458265,50.9032213
42051860,6.0456577,50.9037189
42053146,5.9275284,50.9050348
42056155,6.040988,50.9080982
42056608,6.0400796,50.9087213
42056946,6.0394466,50.9091887
42057300,6.0388304,50.9096482
42057700,6.0381003,50.9101942
42061488,6.0310295,50.9140788
42206874,5.9730537,51.1998279
42206947,5.9705199,51.2004786
