osm_id,lon,lat
41901786,5.7055079,50.7624315
41902090,5.7066577,50.7629591
41902399,5.7087814,50.7638381
41903638,5.7145438,50.7661445
41903752,5.7158009,50.7664147
41904010,5.7156564,50.7665686
41904120,5.7165781,50.7669449
41904241,5.7176607,50.7671872
41904344,5.7174233,50.7673046
41904515,5.7185934,50.7676232
41904930,5.7191096,50.768117
41905314,5.7198095,50.7682505
41905337,5.7202885,50.7687668
41906050,5.7216134,50.7695774
41906108,5.7226491,50.7700249
41906361,5.7224753,50.7701709
41906855,5.7239142,50.7710053
41907461,5.7251098,50.7720752
41907606,5.7248651,50.7721684
41908463,5.7256419,50.7726094
41908968,5.7258855,50.7732326
41909358,5.726158,50.7731698
41910022,5.7273652,50.7746967
41910091,5.727095,50.7747773
41911475,5.7280654,50.7758287
41911715,5.7277971,50.775892
41912292,5.7286896,50.7770621
41912523,5.7284268,50.7771359
41912948,5.728944,50.7776651
41913218,5.7289426,50.7785082
41913663,5.7291761,50.7793767
41913689,5.7294991,50.7794828
41914240,5.7296516,50.7803704
41914341,5.7293652,50.7803941
41914718,5.7294681,50.7815421
41915190,5.7294699,50.7823786
41915191,5.7297578,50.7823794
41915279,5.7297523,50.7825603
41915289,5.7294604,50.7825464
41915559,5.7294543,50.7828287
41915904,5.7293805,50.7835089
41915945,5.7296502,50.7835335
41916175,5.7292748,50.7841136
41916327,5.7295668,50.7841259
41916673,5.7291803,50.7846124
41917307,5.7289273,50.7855559
41918644,5.728146,50.7878094
41918989,5.7280317,50.7880945
41919136,5.7281332,50.7885767
41920050,5.7272382,50.7899622
41920312,5.7270598,50.7903603
41920366,5.7273057,50.7904672
41920425,5.7269624,50.7905902
41920500,5.7272169,50.7906723
41921327,5.7265679,50.7922195
41922077,5.7260373,50.7935994
41922248,5.7255713,50.794087
41923010,5.7256041,50.794961
41923051,5.72529,50.79501
41924265,5.7251685,50.7967754
41924402,5.7248384,50.7970228
41924845,5.7247521,50.7975201
41924857,5.7250416,50.7975415
41925064,5.7247156,50.7977857
41925119,5.7250067,50.7977992
41926975,5.7243773,50.8033551
41927474,5.7242971,50.8045111
41927976,5.7244466,50.8058745
41928414,5.7243442,50.8066408
41928759,5.7239155,50.8074276
41929416,5.7239479,50.8086979
41929587,5.72364,50.80876
41931824,5.7232,50.81032
41931833,5.7235258,50.81035
41932007,5.72313,50.81056
41932024,5.7234558,50.81058
41932798,5.7229108,50.8113774
41932907,5.723189,50.8114461
41933777,5.7221723,50.8134341
41933783,5.7224586,50.8134447
41937302,5.72065,50.81712
